code,title
A39.5,Boala de inima meningococica Meningococica: - endocardita† (I39.8*) - miocardita† (I41.0*) - pericardita† (I32.0*)
A39.8,Alte infectii cu meningococi Meningococica: - artrita† (M01.0-*) - conjunctivita† (H13.1*) - encefalita† (G05.0*) - nevrita retrobulbara† (H48.1*) Artrita post-meningococica† (M03.0-*)
A39.9,"Infectia meningococica, nespecificata Boala meningococica NOS"
A40,"Sepsis streptococic /UIdown Sepsis streptococic Include: septicemia streptococica Exclude: in timpul travaliului (O75.3) ca urmare a: F avortului sau sarcinii ectopice sau molare (O03F F imunizarii (T88.0) F infuzarii, transfuziei sau injectiei terapeutice neonatal (P36.0FP36.1) postprocedural (T81.4) puerperal (O85)"
A40.0,"Sepsis datorit unui streptococ, grupa A"
A40.1,"Sepsis datorit unui streptococ, grupa B"
A40.2,"Sepsis datorit unui streptococ, grupa D"
A40.3,Sepsis datorit Streptococcus pneumoniae Septicemia pneumococica
A40.8,Alte tipuri de sepsis cu streptococi
A40.9,"Sepsis streptococic, nespecificat"
A41,"Alte tipuri de sepsis /UIdown Alte tipuri de sepsis Include: septicemia Exclude: bacteremia NOS (A49.9) in timpul travaliului (O75.3) ca urmare a: F avortului sau sarcinii ectopice sau molare (O03F F imunizarii (T88.0) F infuzarii, transfuziei sau injectiei terapeutice sepsis (datorit) (in): F actinomicotic (A42.7) F antrax (A22.7) F Candida (B37.7) Anumite boli infectioase si parazitare Lista Tabelar ă a Bolilor ICD-10-AM 2002 9 F Erysipelothrix (A26.7) F yersinioza extraFintestinala F gonococic (A54.8) F virus herpetic (B00.7) F listerial (A32.7) F meningococic (A39.2F Fneonatal (P36.F) F postFprocedural (T81.4) F puerperal (O85) F streptococic (A40.F) F tularemie (A21.7) septica: F melioidoza (A24.1) F pesta (A20.7) sindromul socului toxic"
A41.0,Sepsis datorit stafilococului auriu
A41.1,"Sepsis datorit altor stafilococi, specificati Sepsis datorit stafilococului de coaguloza- negativa"
A41.2,Sepsis datorit unui stafilococ nespecificat
A41.3,Sepsis datorit Haemophilus influenzae
A41.4,Sepsis datorit anaerobilor Exclude: gangrena gazoasa (A48.0)
A41.5,Sepsis datorit altor organisme GramF negative
A41.50,/circlestar Sepsis datorit organismelor GramF negative nespecificate Septicemia Gram-negativa NOS
A41.51,/circlestar Sepsis datorit Escherichia coli [E. Coli]
A41.52,/circlestar Sepsis datorit pseudomonas
A41.58,/circlestar Sepsis datorit altor organisme GramF negative
A41.8,Alte tipuri de sepsis specificate
A41.9,"Sepsis, nespecificat Soc septic Septicemie"
A42,Actinomicoza Exclude: actinomicetomul (B47.1)
A42.0,Actinomicoza pulmonara
A42.1,Actinomicoza abdominala
A42.2,Actinomicoza cervicoFfaciala
A42.7,Sepsis actinomicotic
A42.8,Alte forme de actinomicoza
A42.9,"Actinomicoza, nespecificata"
A43,Nocardioza
A43.0,Nocardioza pulmonara
A43.1,Nocardioza cutanata
A43.8,Alte nocardioze
A43.9,"Nocardioza, nespecificata"
A44,Bartonelloza
A44.0,Bartonelloza sistemica Febra de Oroya
A44.1,Bartonelloza cutanata sau cutaneoF mucoasa Verruga peruana
A44.8,Alte forme de bartonelloza
A44.9,"Bartonelloza, nespecificata"
A46,Erizipelul Erizipelul Exclude: erizipelul postFpartum sau puerperal (O86.8)
A48,"Alte boli bacteriene, neclasificate altundeva altundeva Exclude: actinomicetomul (B47.1)"
A48.0,Gangrena gazoasa Clostridiala: - cellulitis - myonecrosis
A48.1,Boala legionarilor
A48.2,Boala legionarilor fara semne pulmonare [febra Pontiac]
A48.3,Sindromul de soc toxic Exclude: socul endotoxic NOS (R57.8) sepsis NOS (A41.9) septicemia NOS (A41.9)
A48.4,Febra purpurica din Brazilia Infectia sistemica cu Haemophilus aegyptius
A48.8,Alte boli bacteriane specificate
A49,"Infectia bacteriana cu localizare nespecificata Infectii al caror mod de transmitere este, in special sexual (A50-A64) nespecificata Exclude: agentii bacterieni care sunt cauza bolilor clasificate la alte capitole (B95FB96) infectia cu Chlamydia NOS infectia meningococica NOS infectia prin Rickettsia NOS infectia cu spirochete NOS 019 Sifilis congenital A50 020 Sifilis precoce A51 021 Alte forme de sifilis A52–A53 022 Infec ţia gonococic ă A54 023 Boli cu Chlamydia transmise sexual 024 Alte infec ţii al c ăror mod de transmitere este în special sexual 025 Febre recurente A68 026 Trahomul A71 027 Tifosul exantematic A75 028 Poliomielita acut ă A80 029 Rabia A82 030 Encefalita viral ă A83–A86 031 Febra galben ă A95 032 Alte febre virale transmise de artropode şi febre virale hemoragice 033 Infec ţii cu virusul herpetic B00 034 Varicela şi zona zoster B01–B02 035 Rujeola B05 036 Rubeola B06 037 Hepatita acut ă B B16 038 Alte hepatite virale B15, B17–"
A49.0,"Infectia stafilococica, nespecificata"
A49.1,"Infectia streptococica, nespecificata"
A49.2,"Infectia cu Haemophilus influenzae, nespecificata"
A49.3,"Infectia cu Mycoplasma, nespecificata Anumite boli infectioase si parazitare Lista Tabelar ă a Bolilor ICD-10-AM 2002 10"
A49.8,Alte infectii bacteriene cu localizare nespecificata
